img,niqe
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_04.obj/1.png,12.54427532
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_04.obj/2.png,9.399018464
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_04.obj/3.png,23.01928962
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_04.obj/4.png,14.02468269
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_04.obj/5.png,12.47139088
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_08.obj/0.png,13.3706976
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_08.obj/1.png,13.55098219
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_08.obj/2.png,11.43831984
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_08.obj/3.png,22.54202147
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_08.obj/4.png,14.49776802
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_08.obj/5.png,14.33758792
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_16.obj/0.png,16.59328428
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_16.obj/1.png,15.10882955
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_16.obj/2.png,13.73090838
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_16.obj/3.png,21.57445196
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_16.obj/4.png,16.98260294
./dis_6projections/00003_Rahel003_Basics_007_sub_rate_16.obj/5.png,15.70740643
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_20.obj/0.png,13.35248712
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_20.obj/1.png,11.08570031
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_20.obj/2.png,11.24827822
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_20.obj/3.png,9.83104992
./dis_6projections/00005_Sam006_Basics_006_cn_sigma_20.obj/4.png,8.210302923
